39.6,0.19891,0.089977,-0.16825,-0.14568,0.16313,0.14457,-0.1731,-0.14093,0.18018,0.1362
39.7,0.19856,0.090983,-0.16698,-0.14763,0.16024,0.14802,-0.16907,-0.14594,0.17511,0.14284
39.8,0.1982,0.09198,-0.16571,-0.14953,0.15733,0.15138,-0.16497,-0.15079,0.16987,0.14923
39.9,0.19785,0.092966,-0.16443,-0.15138,0.15439,0.15463,-0.16079,-0.15547,0.16449,0.15535
40,0.19749,0.093942,-0.16315,-0.1532,0.15142,0.15778,-0.15653,-0.15997,0.15896,0.1612
40.1,0.19714,0.094908,-0.16186,-0.15496,0.14843,0.16084,-0.15221,-0.1643,0.1533,0.16679
40.2,0.19678,0.095864,-0.16056,-0.15669,0.14542,0.1638,-0.14782,-0.16845,0.14751,0.1721
40.3,0.19643,0.09681,-0.15926,-0.15837,0.14238,0.16665,-0.14337,-0.17243,0.14161,0.17714
40.4,0.19607,0.097747,-0.15795,-0.16,0.13933,0.16941,-0.13886,-0.17623,0.1356,0.18189
40.5,0.19572,0.098673,-0.15664,-0.1616,0.13625,0.17208,-0.13431,-0.17985,0.12949,0.18637
40.6,0.19537,0.09959,-0.15533,-0.16315,0.13316,0.17464,-0.1297,-0.1833,0.1233,0.19056
40.7,0.19501,0.1005,-0.15401,-0.16466,0.13005,0.17711,-0.12506,-0.18656,0.11702,0.19448
40.8,0.19466,0.1014,-0.15268,-0.16613,0.12693,0.17948,-0.12037,-0.18966,0.11067,0.19811
40.9,0.1943,0.10228,-0.15136,-0.16756,0.1238,0.18175,-0.11564,-0.19257,0.10425,0.20145
41,0.19395,0.10316,-0.15003,-0.16895,0.12065,0.18393,-0.11088,-0.19531,0.097781,0.20452
41.1,0.1936,0.10403,-0.14869,-0.1703,0.1175,0.18601,-0.1061,-0.19788,0.09126,0.2073
41.2,0.19325,0.10489,-0.14735,-0.1716,0.11433,0.188,-0.10128,-0.20027,0.084697,0.20981
41.3,0.19289,0.10574,-0.14601,-0.17287,0.11116,0.1899,-0.09645,-0.20249,0.078102,0.21203
